sample,total.leaf.area,weight,sla
p71r1,51.145,0.3245,157.6117103
p71r2,47.537,28.09,1.692310431
p71r3,61.887,0.3625,170.7227586
p72r1,49.994,0.2821,177.2208437
p72r2,83.457,0.562,148.5
p72r3,35.218,0.2011,175.1268026
p73r1,39.793,0.289,137.6920415
p73r2,32.979,0.2221,148.4871679
p73r3,65.561,0.3449,190.0869817
p74r1,37.649,0.2361,159.4620923
p74r2,52.489,0.2278,230.4170325
p74r3,66.97,0.3993,167.7185074
p75r1,75.809,0.4666,162.4710673
p75r2,47.728,0.3237,147.4451653
p75r3,42.461,0.3101,136.9267978
p76r1,46.358,0.3868,119.8500517
p76r2,45.606,0.3231,141.1513463
p76r3,52.161,0.3732,139.766881
p77r1,28.257,0.1504,187.8789894
p77r2,32.525,0.1864,174.4903433
p77r3,48.505,0.259,187.2779923
p78r1,47.251,0.3147,150.146171
p78r2,21.205,0.162,130.8950617
p78r3,43.127,0.1992,216.501004
p79r1,66.359,0.3734,177.7155865
p79r2,51.308,0.2161,237.4271171
p79r3,41.465,0.2293,180.8329699
p7r1,27.112,0.1141,237.6161262
p7r2,35.851,0.1116,321.2455197
p7r3,41.228,0.1793,229.9386503
p80r1,60.963,0.4218,144.5305832
p80r2,51.35,0.3543,144.933672
p80r3,55.581,0.3614,153.7935805
p81r1,84.954,0.5152,164.8951863
p81r2,80.706,0.5147,156.8020206
p81r3,57.111,0.3682,155.1086366
p82r1,75.932,0.5755,131.9409209
p82r2,65.429,0.5512,118.7028302
p82r3,35.606,0.2543,140.0157295
p8r1,34.301,0.1413,242.7530078
p8r2,30.941,0.1297,238.5582113
p8r3,31.787,0.1438,221.0500695
p9r1,29.176,0.1296,225.1234568
p9r2,43.883,0.2073,211.6883743
p9r3,35.527,0.1693,209.8464265
