B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
1138,11:03:37,6.80896,0.00973207,0.00199926,0.00350627,0.00352834,0.00951692
1144,11:03:55,4.29477,0.0137209,0.0533158,0.0598378,0.0289429,0.0122255
1147,11:04:03,4.86617,0.0171223,0.0302105,0.0130027,0.0213219,0.0209276
1150,11:04:09,6.29704,0.00861871,0.00269474,0.00680811,0.011228,0.00497101
1156,11:04:28,2.9486,0.371414,0.0918047,0.0959564,0.109926,0.0454422
1159,11:04:35,2.3154,0.134073,0.380423,0.271716,0.140283,0.0386692
1162,11:04:42,3.40499,0.160414,0.0750367,0.0805734,0.103269,0.0160703
1168,11:05:00,4.12677,0.117088,0.0238448,0.0762667,0.0201449,0.0314176
1171,11:05:06,3.90215,0.18119,0.0333697,0.100511,0.0357897,0.0154096
1174,11:05:18,4.17502,0.135664,0.0658457,0.0515778,0.0311944,0.00833242
1180,11:05:45,3.63129,0.16142,0.0471593,0.0455443,0.0779226,0.0307195
1183,11:05:50,4.29213,0.125653,0.0511922,0.103657,0.0141877,0.00850907
1186,11:05:55,4.82819,0.0911548,0.112894,0.0181567,0.0110703,0.00657023
1192,11:06:12,5.17583,0.101297,0.0517805,0.0269508,0.00655166,0.00426637
1195,11:06:22,5.54195,0.0535742,0.0323837,0.0239186,0.00512565,0.0031385
1198,11:06:29,5.79821,0.0420504,0.00161563,0.00542409,0.0375748,0.00876071
1207,11:07:00,5.22553,0.013951,0.0211848,0.0080529,0.0271273,0.00985847
1210,11:07:06,3.14579,0.156601,0.0430953,0.104793,0.0886483,0.068365
1213,11:07:12,2.95937,0.25012,0.239113,0.0724741,0.0867846,0.038961
1219,11:07:26,2.55337,0.118517,0.253515,0.199555,0.049526,0.143554
1222,11:07:31,4.1652,0.0363863,0.0298112,0.0207971,0.0368601,0.0696287
1225,11:07:37,3.8616,0.0753609,0.017055,0.0540158,0.0441031,0.0741365
1231,11:08:19,4.19495,0.0165875,0.0122778,0.0734279,0.0466156,0.0278732
1234,11:08:25,3.27164,0.0183043,0.0317478,0.161881,0.0784091,0.0764605
1237,11:08:30,1.57824,0.220265,0.38081,0.42404,0.218281,0.189786
1243,11:08:48,2.58774,0.77968,0.474147,0.0624501,0.116455,0.0490122
1246,11:08:55,4.41792,0.030137,0.0280248,0.0215526,0.0255937,0.0457197
1249,11:09:00,2.25024,0.122289,0.30817,0.1551,0.12888,0.142766
1255,11:09:26,3.72248,0.0787146,0.191833,0.0688579,0.0185559,0.0306418
1258,11:09:34,6.65043,0.00888856,0.00345322,0.00393872,0.0072653,0.0034641
1261,11:09:44,7.06219,0.0065625,0.00322066,0.00272869,0.00293039,0.00444106
1267,11:10:11,2.49773,0.697275,0.218618,0.107204,0.113768,0.0800813
1270,11:10:16,0.893007,0.501481,0.716991,0.249216,0.579064,0.603175
1273,11:10:21,2.88959,0.326126,0.0467591,0.112208,0.123128,0.0802555
1279,11:10:44,5.89392,0.0480979,0.0287855,0.017956,0.00407471,0.00177326
1282,11:10:49,3.18793,0.0870835,0.0585174,0.116635,0.0428955,0.124592
1285,11:10:57,3.50095,0.429077,0.0620137,0.0744768,0.0684814,0.0187167
1291,11:11:25,3.7885,0.163993,0.022529,0.0348831,0.148401,0.0190198
1294,11:11:32,3.68207,0.0150527,0.0225924,0.10564,0.0501116,0.070264
1297,11:11:44,6.12275,0.00905445,0.0061906,0.00719395,0.00889164,0.00567547
1303,11:12:20,2.56553,0.0500414,0.182446,0.229409,0.190802,0.0321493
1306,11:12:26,3.84686,0.017003,0.111173,0.0641207,0.0522385,0.0134854
1309,11:12:34,3.61642,0.0789909,0.042379,0.0959377,0.0320035,0.0614136
1315,11:12:49,3.71083,0.189273,0.179181,0.0255029,0.045152,0.0260609
1318,11:12:58,5.11137,0.142801,0.0126737,0.0298611,0.013323,0.00624592
1321,11:13:05,6.7388,0.0128587,0.00802573,0.00407807,0.00313134,0.00296881
1327,11:13:29,3.17631,0.0819595,0.265696,0.0874599,0.0560498,0.0309437
1330,11:13:36,4.50998,0.0189482,0.0363804,0.0600866,0.0285326,0.00687413
1333,11:13:44,4.12323,0.0169527,0.156839,0.0597338,0.0256436,0.00950737
1339,11:14:02,3.42995,0.0327466,0.0709789,0.227589,0.0300101,0.0387413
1342,11:14:08,2.32627,0.18118,0.377318,0.193995,0.143068,0.0502098
1345,11:14:14,4.79974,0.112063,0.0208862,0.0118233,0.0332392,0.0128969
1351,11:14:53,3.72233,0.138866,0.0791368,0.0381948,0.0661006,0.0214324
1354,11:14:57,1.86528,0.194987,0.0543483,0.604269,0.252226,0.214686
1357,11:15:02,2.46669,0.203627,0.171221,0.117274,0.158045,0.096437
1363,11:15:18,3.71981,0.0177457,0.0321701,0.285751,0.0406831,0.0157739
1366,11:15:23,3.26829,0.122158,0.175104,0.0864122,0.0452138,0.0385049
1369,11:15:28,3.19601,0.0796266,0.1971,0.0537659,0.136059,0.0206799
1375,11:15:53,2.8262,0.312697,0.0697004,0.148703,0.0966817,0.0701751
1378,11:15:58,1.84665,0.566632,0.308178,0.484947,0.153652,0.0814427
1381,11:16:05,3.88591,0.0538038,0.0249831,0.0615563,0.0450549,0.0429577
1387,11:16:20,3.7793,0.0264009,0.102782,0.145593,0.0289235,0.0134268
1390,11:16:24,3.12939,0.118872,0.0570213,0.0613863,0.121023,0.0772637
1393,11:16:27,3.34493,0.188196,0.140867,0.118591,0.0412752,0.0232773
1399,11:16:47,3.97022,0.175316,0.120604,0.0215884,0.031078,0.0288353
1402,11:16:54,4.82665,0.0102899,0.0365254,0.0283621,0.0233698,0.00800166
1405,11:17:02,5.08252,0.0306878,0.0481524,0.0198455,0.0125368,0.00580033
1411,11:17:20,2.63599,0.440302,0.0914757,0.22677,0.0835119,0.0744369
